ID,Page,Section,Type,Texte actuel,Correction Goudet,Notes
01-HOME-HERO-EYEBROW,Accueil,Hero,Eyebrow,ARMD Global · Q2 2026,,Petite mention au-dessus du titre principal du hero
01-HOME-HERO-H1,Accueil,Hero,Titre H1,"Observer.
Anticiper.
Diriger.",,Titre principal du hero (3 verbes sur 3 lignes)
01-HOME-HERO-INTRO,Accueil,Hero,Paragraphe,"Cabinet panafricain d'intelligence économique et d'influence stratégique. Pour les économies africaines, les marchés émergents et les institutions multilatérales. Nous opérons là où les autres hésitent.",,"Paragraphe d'introduction sous le H1. La dernière phrase ""Nous opérons là où les autres hésitent."" est mise en avant (couleur plus claire)"
01-HOME-HERO-CTA-1,Accueil,Hero,Bouton CTA,Parlons stratégie,,"CTA principal du hero, lien vers /contact"
01-HOME-HERO-CTA-2,Accueil,Hero,Bouton CTA,Rencontrer Goudet Abalé,,"CTA secondaire du hero, lien vers /a-propos"
01-HOME-HERO-CARD-LABEL,Accueil,Hero,Label,Notre approche,,Étiquette mono uppercase au-dessus de la mention approche dans la carte glassmorphism à droite du hero
01-HOME-HERO-CARD-VALUE,Accueil,Hero,Mention,Donnée. Récit. Humain.,,Trois mots de la méthode dans la carte à droite du hero
01-HOME-HERO-META,Accueil,Hero,Méta,Paris · Abidjan · Washington,,Bandeau bas du hero (séparé par des points médians)
02-HOME-APPROACH-EYEBROW,Accueil,Approche,Eyebrow,Notre approche,,Eyebrow de la section Approche
02-HOME-APPROACH-H2,Accueil,Approche,Titre H2,Trois leviers de puissance,,"H2 de la section. ""de puissance"" est en bleu et bold"
02-HOME-APPROACH-INTRO,Accueil,Approche,Paragraphe,Articulés en tout instant. Aucune mission ARMD n'en mobilise un seul.,,Description courte à droite du H2
02-HOME-APPROACH-CARD1-NUM,Accueil,Approche,Numérotation,01 / 03,,Compteur en haut de la 1ère carte levier
02-HOME-APPROACH-CARD1-TITLE,Accueil,Approche,Titre H3,Donnée,,"Titre de la 1ère carte levier (suivi d'un point bleu)"
02-HOME-APPROACH-CARD1-TAGLINE,Accueil,Approche,Tagline,Acquisition · Structuration · Modélisation,,Sous-titre mono uppercase de la 1ère carte
02-HOME-APPROACH-CARD1-DESC,Accueil,Approche,Paragraphe,"OSINT, HUMINT, bases propriétaires. La preuve avant le récit. Aucune décision ARMD ne s'appuie sur l'intuition seule.",,Description de la 1ère carte
02-HOME-APPROACH-CARD1-KEYWORDS,Accueil,Approche,Tags,"OSINT, HUMINT, Due diligence",,"3 tags arrondis en bas de la 1ère carte (chacun dans son chip séparé)"
02-HOME-APPROACH-CARD2-NUM,Accueil,Approche,Numérotation,02 / 03,,Compteur en haut de la 2ème carte
02-HOME-APPROACH-CARD2-TITLE,Accueil,Approche,Titre H3,Récit,,Titre de la 2ème carte levier
02-HOME-APPROACH-CARD2-TAGLINE,Accueil,Approche,Tagline,Cadrage stratégique · Narratifs · Médias,,Sous-titre mono uppercase de la 2ème carte
02-HOME-APPROACH-CARD2-DESC,Accueil,Approche,Paragraphe,"Faire émerger le sens. Orienter la perception. Cibler les bons canaux, au bon moment, avec la bonne intensité.",,Description de la 2ème carte
02-HOME-APPROACH-CARD2-KEYWORDS,Accueil,Approche,Tags,"Influence, Médias tier 1, Thought leadership",,3 tags de la 2ème carte
02-HOME-APPROACH-CARD3-NUM,Accueil,Approche,Numérotation,03 / 03,,Compteur en haut de la 3ème carte
02-HOME-APPROACH-CARD3-TITLE,Accueil,Approche,Titre H3,Humain,,Titre de la 3ème carte levier
02-HOME-APPROACH-CARD3-TAGLINE,Accueil,Approche,Tagline,Réseaux · Intermédiation · Accès,,Sous-titre mono uppercase de la 3ème carte
02-HOME-APPROACH-CARD3-DESC,Accueil,Approche,Paragraphe,Les bonnes portes au bon moment. La diplomatie comme méthode. Quand la qualité du contact décide de la suite.,,Description de la 3ème carte
02-HOME-APPROACH-CARD3-KEYWORDS,Accueil,Approche,Tags,"Diplomatie, Accès dirigeants, Bailleurs",,3 tags de la 3ème carte
03-HOME-EXPERTISES-EYEBROW,Accueil,Expertises,Eyebrow,Nos expertises,,Eyebrow de la section Expertises
03-HOME-EXPERTISES-H2,Accueil,Expertises,Titre H2,Six expertises mobilisables,,"H2. ""mobilisables"" est en bleu et bold"
03-HOME-EXPERTISES-INTRO,Accueil,Expertises,Paragraphe,Du renseignement opérationnel à la maîtrise du récit. Seules ou combinées selon le mandat.,,Description courte à droite du H2
03-HOME-EXPERTISES-CARD1-NUM,Accueil,Expertises,Numérotation,01 / 06,,Compteur de la 1ère carte expertise
03-HOME-EXPERTISES-CARD1-CAT,Accueil,Expertises,Catégorie,Analyse économique,,Catégorie mono uppercase de la 1ère carte
03-HOME-EXPERTISES-CARD1-TITLE,Accueil,Expertises,Titre H3,Renseignement d'affaires,,Titre de la 1ère carte expertise
03-HOME-EXPERTISES-CARD1-DESC,Accueil,Expertises,Paragraphe,"Veille, investigations, études, due diligence.",,Description courte de la 1ère carte
03-HOME-EXPERTISES-CARD2-NUM,Accueil,Expertises,Numérotation,02 / 06,,Compteur de la 2ème carte
03-HOME-EXPERTISES-CARD2-CAT,Accueil,Expertises,Catégorie,Diplomatie privée,,Catégorie de la 2ème carte
03-HOME-EXPERTISES-CARD2-TITLE,Accueil,Expertises,Titre H3,Lobbying et accès dirigeants,,Titre de la 2ème carte
03-HOME-EXPERTISES-CARD2-DESC,Accueil,Expertises,Paragraphe,"Accès, intermédiation, réseaux dirigeants.",,Description de la 2ème carte
